ID	Score	Grade	Description	First	Last	Party	District	City	Email	Phone	Chamber	Supported	Absent	Opposed	Picture	loadID
133	93	A	Edwin R. Murray D4-New Orleans	Edwin	Murray	D	4	New Orleans	murraye@legis.la.gov	504-945-0042	Senator	93	0	7	http://senate.la.gov/Murray/images/murray2005.jpg	109
134	92	A	Ben Nevers D12-Bogalusa	Ben	Nevers	D	12	Bogalusa	neversb@legis.la.gov	985-732-6863	Senator	80	13	7	http://senate.la.gov/Nevers/images/nevers2004.jpg	117
135	67	D	Barrow Peacock R37-Bossier City	Barrow	Peacock	R	37	Bossier City	peacockb@legis.la.gov	318-741-7180	Senator	67	0	33	http://senate.la.gov/Peacock/images/Peacock2012.jpg	142
136	80	C	Jonathan Perry R26-Kaplan	Jonathan	Perry	R	26	Kaplan	perryj@legis.la.gov	337-643-6425	Senator	80	0	20	http://senate.la.gov/Perry/images/perrycopy.jpg	131
137	93	A	Karen Carter Peterson D5-New Orleans	Karen	Carter Peterson	D	5	New Orleans	petersonk@legis.la.gov	504-568-8346	Senator	87	7	7	http://senate.la.gov/Peterson/images/peterson2010.jpg	110
138	67	D	Neil Riser R32-Columbia	Neil	Riser	R	32	Columbia	risern@legis.la.gov	318-649-0977	Senator	67	0	33	http://senate.la.gov/Riser/images/riser2008.jpg	137
139	71	C	Gary Smith D19-Norco	Gary	Smith	D	19	Norco	smithgl@legis.la.gov	985-764-9122	Senator	67	7	27	http://senate.la.gov/SmithG/images/SmithG2012.jpg	124
140	67	D	John Smith R30-Leesville	John	Smith	R	30	Leesville	smithj@legis.la.gov	225-342-2040	Senator	67	0	33	http://senate.la.gov/SmithJ/images/smithj2008.jpg	135
141	64	D	Gregory Tarver D39-Shreveport	Gregory	Tarver	D	39	Shreveport	tarverg@legis.la.gov	225-342-2040	Senator	60	7	33	http://senate.la.gov/Tarver/images/tarver2012.jpg	144
142	73	C	Francis Thompson D34-Delhi	Francis	Thompson	D	34	Delhi	thompsof@legis.la.gov	225-342-2040	Senator	73	0	27	http://senate.la.gov/Thompson/images/thompson2008.jpg	139
143	67	D	Mike Walsworth R33-W Monroe	Mike	Walsworth	R	33	W Monroe	walsworthm@legis.la.gov	225-342-2040	Senator	67	0	33	http://senate.la.gov/Walsworth/images/walsworth20141.jpg	138
144	67	D	Rick Ward R17-Port Allen	Rick	Ward	R	17	Port Allen	wardr@legis.la.gov	225-342-2040	Senator	67	0	33	http://senate.la.gov/Ward/images/ward2012.jpg	122
145	67	D	Bodi White R6-Baton Rouge	Mack	White	R	6	Baton Rouge	whitem@legis.la.gov	225-342-2040	Senator	67	0	33	http://senate.la.gov/White/images/White2012.jpg	111
